Time,1,2,3
122.829832,-5746.961325,-36871.938333,-29551.962561
122.833860,-5744.720190,-36870.650872,-29549.292272
122.837888,-5742.765158,-36869.124993,-29545.429891
122.841916,-5741.286962,-36866.693123,-29541.233723
122.845944,-5741.096227,-36865.834816,-29537.895863
122.849972,-5741.191595,-36865.167244,-29536.083881
122.854000,-5742.336004,-36863.879784,-29536.036198
122.858028,-5743.814199,-36865.501030,-29536.465351
122.862056,-5743.051260,-36864.642723,-29535.750095
122.866084,-5740.285604,-36863.593681,-29534.987156
122.870112,-5737.949102,-36863.021477,-29532.889072
122.874140,-5736.423223,-36862.210853,-29531.744663
122.878168,-5735.231130,-36859.826667,-29530.886356
122.882196,-5736.327855,-36861.114128,-29530.457202
122.886224,-5737.138478,-36860.828025,-29528.168384
122.890252,-5736.613957,-36860.351188,-29527.596179
122.894280,-5736.280171,-36858.491523,-29525.545779
122.898308,-5736.757009,-36857.871635,-29524.592105
122.902336,-5735.517232,-36858.205421,-29524.019900
122.906364,-5736.757009,-36859.349830,-29526.642505
122.910392,-5736.757009,-36859.540565,-29527.929965
122.914420,-5736.470906,-36859.349830,-29529.360477
122.918448,-5735.707967,-36858.157737,-29529.169742
122.922476,-5735.660283,-36856.822593,-29530.504886
122.926504,-5734.468190,-36855.344397,-29529.741946
122.930532,-5734.372823,-36854.295356,-29528.359119
122.934560,-5733.943669,-36855.582816,-29527.929965
122.938588,-5734.134404,-36857.919318,-29528.549853
122.942616,-5734.086720,-36858.825309,-29528.740588
122.946644,-5733.800618,-36857.442481,-29528.263751
122.950672,-5734.039037,-36855.153663,-29528.931323
122.954700,-5734.420506,-36854.056937,-29528.597537
122.958728,-5732.703892,-36851.577383,-29527.262393
122.962756,-5732.608525,-36848.907095,-29526.165667
122.966784,-5731.702534,-36848.096472,-29525.831881
122.970812,-5731.511799,-36850.719076,-29525.164309
122.974840,-5731.702534,-36852.435690,-29524.306002
122.978868,-5733.562199,-36853.866202,-29525.164309
122.982896,-5734.372823,-36855.773551,-29524.830523
122.986924,-5735.374181,-36857.633216,-29525.974932
122.990952,-5736.327855,-36856.727225,-29527.548495
122.994980,-5735.517232,-36855.010611,-29530.123416
122.999008,-5734.801976,-36854.486090,-29531.649295
123.003036,-5734.945027,-36853.341681,-29532.364551
123.007064,-5734.229771,-36850.957495,-29531.553928
123.011092,-5733.991353,-36850.146872,-29531.506244
123.015120,-5735.564916,-36851.195914,-29530.886356
123.019148,-5735.612599,-36850.576025,-29530.790988
123.023176,-5734.801976,-36850.528342,-29531.458560
123.027204,-5735.851018,-36852.388007,-29533.604328
123.031232,-5735.755650,-36852.960211,-29534.176533
123.035260,-5735.278813,-36852.006537,-29534.844105
